service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
538,600,4,0.042409339,0.034085122,1072,90.51111111,
539,1106,8,0.084818678,0.085212805,1072,92,
540,954,4,0.042409339,0.034085122,1072,92.22222222,
541,164,4,0.042409339,0.034085122,1080,2,
542,1313,8,0.084818678,0.056808536,1080,3,
543,650,8,0.084818678,0.056808536,1080,6,
544,641,8,0.084818678,0.085212805,1080,10,
545,252,4,0.042409339,0.034085122,1080,2,
546,1287,16,0.254456035,0.113617073,1080,6.333333333,
547,1048,8,0.084818678,0.056808536,1080,10,
548,1027,4,0.042409339,0.034085122,1088,180.1414141,
549,727,4,0.042409339,0.034085122,1088,265.9793814,
550,1285,8,0.084818678,0.056808536,1088,339.271028,
552,320,16,0.318070044,0.113617073,1088,54,
553,1054,8,0.084818678,0.056808536,1088,5.5,
554,862,4,0.042409339,0.034085122,1088,74.2173913,
555,1266,4,0.042409339,0.034085122,1088,42.875,
556,69,4,0.042409339,0.034085122,1088,29.10714286,
557,1274,4,0.042409339,0.034085122,1088,2,
558,1002,4,0.042409339,0.034085122,1088,3,
559,295,8,0.084818678,0.085212805,1088,3,
560,1035,8,0.084818678,0.056808536,1088,3,
561,865,4,0.042409339,0.034085122,1088,54,
562,977,8,0.084818678,0.056808536,1088,4,
563,1271,8,0.084818678,0.056808536,1093,3,
564,1138,8,0.169637357,0.056808536,1093,1,
565,127,8,0.084818678,0.085212805,1093,3,
566,975,8,0.169637357,0.056808536,1093,2,
